sku,name,brand,category,cost_price,sell_price
BB0003,Butter - Pasteurised,Amul,"Bakery, Cakes & Dairy",117.0,149.94
BB0007,Rusk-Milk,Elite,"Bakery, Cakes & Dairy",15.0,20.0
BB0009,Instant Dry Yeast Powder - Used Or Bread & Pizza,5:15PM,"Bakery, Cakes & Dairy",225.0,300.0
BB0013,Paneer - Premium Fresh,Milky Mist,"Bakery, Cakes & Dairy",352.5,440.0
BB0015,UHT Cheese Slice - Made from Cow's Milk,Gowardhan,"Bakery, Cakes & Dairy",116.25,135.0
BB0029,Vanilla Soy Drink (Tetra Pak),Sofit ,"Bakery, Cakes & Dairy",26.25,29.0
BB0039,"Farm Fresh Curd/Dahi - Premium, No Preservatives",Milky Mist,"Bakery, Cakes & Dairy",34.5,45.0
BB0049,Azalee Eau De Parfum,Lalique,Beauty & Hygiene,3675.0,4165.0
BB0053,Anti-Cavity Natural Ayurvedic Clove Oil Toothpaste,Lever Ayush,Beauty & Hygiene,37.5,50.0
BB0054,"Gel Bathing Bar - Men, Refreshing Pulse",Fiama,Beauty & Hygiene,68.25,77.35
BB0070,Visible White Colgate Toothpaste - Sparkling Min,Colgate,Beauty & Hygiene,66.0,88.0
BB0074,Purifying Neem Face Wash,Himalaya,Beauty & Hygiene,225.0,228.0
BB0077,"Trilokya Chintamanin Ras Tablets -  Promotes Strength Digestive Strength, Respiratory System",Basic Ayurveda,Beauty & Hygiene,975.0,1300.0
BB0079,"Capsules - Shilajit Gold for Strength, Stamina & Power",Dabur,Beauty & Hygiene,348.75,394.0
BB0081,Vedic Suraksha Green Tea,Dabur,Beverages,131.25,175.0
BB0085,100% Natural Cold Pressed Juice - Pomegranate,Raw Pressery,Beverages,450.0,600.0
BB0089,Tea,Red Label,Beverages,30.0,40.0
BB0090,Sunrise Instant Coffee,Nescafe ,Beverages,3.75,5.0
BB0093,Fruit Power Juice - Litchi,Real,Beverages,86.25,99.0
BB0094,"Assam Teas With Gently Rolled Aromatic Long Leaves, Rich & Aromatic Chai, Black Tea",Tata Tea Gold,Beverages,465.0,527.0
BB0097,Soft Drink,Mountain Dew,Beverages,26.25,33.25
BB0098,"Filter Coffee - Grand, Rich & Aromatic",Tata Coffee,Beverages,27.75,35.15
BB0100,"Sharbat - Paan, Syrup",Gulabs,Beverages,225.0,300.0
BB0103,"Cold Extracted Juice - Basics, Valencia Orange",Raw Pressery,Beverages,375.0,460.0
BB0106,"Sunrise Instant Coffee-Chicory Mix, Rich In Aroma & Flavour,",Nescafe ,Beverages,7.5,10.0
BB0108,"Black Soft Drink - Max Taste, Zero Sugar(Diet)",Pepsi,Beverages,26.25,33.25
BB0114,Sunrise Instant Coffee - Chicory Mixture,Nescafe ,Beverages,71.25,90.0
BB0139,Disinfectant Surface & Floor Cleaner Liquid - Citrus,Lizol,Cleaning & Household,299.25,349.0
BB0145,"Antibacterial Surface Liquid Disinfectant Cleaner - Multipurpose, Kills Germs",Dettol,Cleaning & Household,119.25,143.1
BB0155,"Disinfectant Toilet Cleaner Liquid, Original",Harpic,Cleaning & Household,69.75,93.0
BB0156,Complete Detergent Washing Powder,Ariel,Cleaning & Household,502.5,670.0
BB0164,Ginger Paste - Thick & Grainy Texture,Catch,"Foodgrains, Oil & Masala",22.5,25.5
BB0166,Organic - Mustard Oil,Organic Tattva,"Foodgrains, Oil & Masala",300.0,400.0
BB0181,"Moong - Green, Whole/Sabut",BB Royal,"Foodgrains, Oil & Masala",67.5,69.0
BB0186,Organic Brown Rice,BB Royal,"Foodgrains, Oil & Masala",71.25,74.0
BB0188,Ponni Raw Rice/Akki - Super Premium,BB Royal,"Foodgrains, Oil & Masala",281.25,285.0
BB0190,"White Thick Poha - High In Fibre, For Breakfast & Evening Tea",Tata Sampann,"Foodgrains, Oil & Masala",66.0,82.0
BB0201,Alfredo Pasta Sauce,Spice Story,Snacks & Branded Foods,225.0,255.0
BB0206,"Oats Breakfast Cereal - Rich In Protein, Dietary Fibre, Nutritious, Easy To Cook",Quaker,Snacks & Branded Foods,149.25,179.0
BB0211,"2-Minute Instant Masala Noodles - Made With Quality Spices, Goodness Of Iron",MAGGI ,Snacks & Branded Foods,81.75,109.0
BB0220,Potato Chips - Classic Salted,Too Yumm!,Snacks & Branded Foods,15.0,17.0
BB0221,Red Chilli Sauce - Enhances Flavour,Mother's Recipe ,Snacks & Branded Foods,41.25,50.05
BB0223,"Veg Hakka Noodles - Authentic Chinese, Hygienic & Non Sticky",HAPPY PANDA,Snacks & Branded Foods,71.25,95.0
BB0226,"Mughlai Paneer - Ready To Eat Indian Dish, Just Heat & Relish",Kitchens Of India,Snacks & Branded Foods,120.0,160.0
BB0230,"Foxtail Millet Noodles - No Maida, Not Fried",Slurrp Farm,Snacks & Branded Foods,96.75,122.55
BB0232,Duo Coconut 12 Pralines Pack,Sundrop,Snacks & Branded Foods,75.0,100.0
BB0236,Poha Instant Mix,Motherss Recipe,Snacks & Branded Foods,45.0,54.6
